ACACIA_BOAT	Acacia Boat	Bateau en acacia
ACACIA_BUTTON	Acacia Button	Bouton en acacia
ACACIA_CHEST_BOAT	Acacia Boat with Chest	Bateau de stockage en acacia
ACACIA_DOOR	Acacia Door	Porte en acacia
ACACIA_FENCE	Acacia Fence	Barrière en acacia
ACACIA_FENCE_GATE	Acacia Fence Gate	Portillon en acacia
ACACIA_HANGING_SIGN	Acacia Hanging Sign	Pancarte suspendue en acacia
ACACIA_LEAVES	Acacia Leaves	Feuilles d'acacia
ACACIA_LOG	Acacia Log	Bûche d'acacia
ACACIA_PLANKS	Acacia Planks	Planches d'acacia
ACACIA_PRESSURE_PLATE	Acacia Pressure Plate	Plaque de pression en acacia
ACACIA_SAPLING	Acacia Sapling	Pousse d'acacia
ACACIA_SHELF	Acacia Shelf	Étagère en acacia
ACACIA_SIGN	Acacia Sign	Pancarte en acacia
ACACIA_SLAB	Acacia Slab	Dalle en acacia
ACACIA_STAIRS	Acacia Stairs	Escalier en acacia
ACACIA_TRAPDOOR	Acacia Trapdoor	Trappe en acacia
ACACIA_WALL_HANGING_SIGN	Acacia Wall Hanging Sign	Pancarte suspendue en acacia murale
ACACIA_WALL_SIGN	Acacia Wall Sign	Pancarte en acacia murale
ACACIA_WOOD	Acacia Wood	Bois d'acacia
ACTIVATOR_RAIL	Activator Rail	Rails déclencheurs
AIR	Air	Air
ALLAY_SPAWN_EGG	Allay Spawn Egg	Oeuf d'apparition d'Allay
ALLIUM	Allium	Allium
AMETHYST_BLOCK	Block of Amethyst	Bloc d'améthyste
AMETHYST_CLUSTER	Amethyst Cluster	Amas d'améthyste
AMETHYST_SHARD	Amethyst Shard	Éclat d'améthyste
ANCIENT_DEBRIS	Ancient Debris	Débris antiques
ANDESITE	Andesite	Andésite
ANDESITE_SLAB	Andesite Slab	Dalle d'andésite
ANDESITE_STAIRS	Andesite Stairs	Escalier en andésite
ANDESITE_WALL	Andesite Wall	Muret d'andésite
ANGLER_POTTERY_SHERD	Angler Pottery Sherd	Tesson de poterie de pêcheur
ANVIL	Anvil	Enclume
APPLE	Apple	Pomme
ARCHER_POTTERY_SHERD	Archer Pottery Sherd	Tesson de poterie d'archer
ARMADILLO_SCUTE	Armadillo Scute	Écaille de tatou
ARMADILLO_SPAWN_EGG	Armadillo Spawn Egg	Oeuf d'apparition de tatou
ARMOR_STAND	Armor Stand	Porte-armure
ARMS_UP_POTTERY_SHERD	Arms Up Pottery Sherd	Tesson de poterie de figure
ARROW	Arrow	Flèche
ATTACHED_MELON_STEM	Attached Melon Stem	Tige de pastèque attachée
ATTACHED_PUMPKIN_STEM	Attached Pumpkin Stem	Tige de citrouille attachée
AXOLOTL_BUCKET	Bucket of Axolotl	Axolotl dans un seau
AXOLOTL_SPAWN_EGG	Axolotl Spawn Egg	Oeuf d'apparition d'axolotl
AZALEA	Azalea	Azalée
AZALEA_LEAVES	Azalea Leaves	Feuilles d'azalée
AZURE_BLUET	Azure Bluet	Houstonie bleue
BAKED_POTATO	Baked Potato	Pomme de terre cuite
BAMBOO	Bamboo	Bambou
BAMBOO_BLOCK	Block of Bamboo	Bloc de bambou
BAMBOO_BUTTON	Bamboo Button	Bouton en bambou
BAMBOO_CHEST_RAFT	Bamboo Raft with Chest	Radeau de stockage en bambou
BAMBOO_DOOR	Bamboo Door	Porte en bambou
BAMBOO_FENCE	Bamboo Fence	Barrière en bambou
